?company,?companyLabel
<http://www.wikidata.org/entity/Q107906233>,"""ZYX Music GMBH & Co. KG""@de"
<http://www.wikidata.org/entity/Q107906233>,"""ZYX Music GMBH & Co. KG""@de"
<http://www.wikidata.org/entity/Q244923>,"""Zwischenfall""@de"
<http://www.wikidata.org/entity/Q107138741>,"""Zwirnerei und Nähfadenfabrik Rhenania""@de"
<http://www.wikidata.org/entity/Q244854>,"""Zwirnerei Ackermann""@de"
<http://www.wikidata.org/entity/Q244736>,"""Zwilling J. A. Henckels""@de"
<http://www.wikidata.org/entity/Q244736>,"""Zwilling J. A. Henckels""@de"
<http://www.wikidata.org/entity/Q244659>,"""Zwiesel Kristallglas""@de"
<http://www.wikidata.org/entity/Q244637>,"""Zwiefalter Klosterbräu""@de"
<http://www.wikidata.org/entity/Q244529>,"""Zwick Roell""@de"
<http://www.wikidata.org/entity/Q107359766>,"""Zwickau-Oberhohndorfer Steinkohlenbau-Verein""@de"
<http://www.wikidata.org/entity/Q107177227>,"""Zwickauer Stadtbank""@de"
<http://www.wikidata.org/entity/Q100777549>,"""Zwickauer Kammgarn-Spinnerei""@de"
<http://www.wikidata.org/entity/Q100777549>,"""Zwickauer Kammgarn-Spinnerei""@de"
<http://www.wikidata.org/entity/Q100777549>,"""Zwickauer Kammgarn-Spinnerei""@de"
<http://www.wikidata.org/entity/Q100777549>,"""Zwickauer Kammgarn-Spinnerei""@de"
<http://www.wikidata.org/entity/Q100785890>,"""Zwickauer Kammgarn GmbH""@de"
<http://www.wikidata.org/entity/Q100785890>,"""Zwickauer Kammgarn GmbH""@de"
<http://www.wikidata.org/entity/Q244017>,"""Zwerg Autobau""@de"
<http://www.wikidata.org/entity/Q233045>,"""Zweirad Union""@de"
<http://www.wikidata.org/entity/Q111370019>,"""Zweirad Schubert""@de"
<http://www.wikidata.org/entity/Q2605202>,"""Zweirad-Einkaufs-Genossenschaft""@de"
<http://www.wikidata.org/entity/Q27225809>,"""Zweirad-Center Stadler""@de"
<http://www.wikidata.org/entity/Q232788>,"""Zweigart""@de"
<http://www.wikidata.org/entity/Q232352>,"""Zweibrüder Optoelectronics""@de"
<http://www.wikidata.org/entity/Q108783184>,"""Zweckverband Tierische Nebenprodukte Neckar-Franken""@de"
<http://www.wikidata.org/entity/Q114795970>,"""Zweckverband Romantische Schiene""@de"
<http://www.wikidata.org/entity/Q231854>,"""Zweckverband Oberschwäbische Elektrizitätswerke""@de"
<http://www.wikidata.org/entity/Q82980882>,"""Zweckverband Abfallwirtschaft Region Trier""@de"
<http://www.wikidata.org/entity/Q231836>,"""Zweckverband Abfallwirtschaft Region Hannover""@de"
<http://www.wikidata.org/entity/Q8075461>,"""Zuxxez Entertainment""@de"
<http://www.wikidata.org/entity/Q230781>,"""Zuse KG""@de"
<http://www.wikidata.org/entity/Q230332>,"""Zur-Mühlen-Gruppe""@de"
<http://www.wikidata.org/entity/Q230410>,"""Zurich Gruppe Deutschland""@de"
<http://www.wikidata.org/entity/Q230410>,"""Zurich Gruppe Deutschland""@de"
<http://www.wikidata.org/entity/Q230392>,"""zurbrüggen""@de"
<http://www.wikidata.org/entity/Q230392>,"""zurbrüggen""@de"
<http://www.wikidata.org/entity/Q59167>,"""Zündapp""@de"
<http://www.wikidata.org/entity/Q59167>,"""Zündapp""@de"
<http://www.wikidata.org/entity/Q59167>,"""Zündapp""@de"
<http://www.wikidata.org/entity/Q59167>,"""Zündapp""@de"
<http://www.wikidata.org/entity/Q114245450>,"""Zum Schwanen""@de"
<http://www.wikidata.org/entity/Q114245450>,"""Zum Schwanen""@de"
<http://www.wikidata.org/entity/Q114245450>,"""Zum Schwanen""@de"
<http://www.wikidata.org/entity/Q227430>,"""Zu Klampen Verlag""@de"
<http://www.wikidata.org/entity/Q227430>,"""Zu Klampen Verlag""@de"
<http://www.wikidata.org/entity/Q18030057>,"""Zufall""@de"
<http://www.wikidata.org/entity/Q107026940>,"""Zuckerraffinerie Genthin""@de"
<http://www.wikidata.org/entity/Q20972947>,"""Zuckerraffinerie Braunschweig""@de"
<http://www.wikidata.org/entity/Q20972947>,"""Zuckerraffinerie Braunschweig""@de"
<http://www.wikidata.org/entity/Q107147682>,"""Zuckerkreditbank""@de"
<http://www.wikidata.org/entity/Q42469781>,"""Zuckerfabrik Warburg""@de"
<http://www.wikidata.org/entity/Q42469781>,"""Zuckerfabrik Warburg""@de"
<http://www.wikidata.org/entity/Q42469781>,"""Zuckerfabrik Warburg""@de"
<http://www.wikidata.org/entity/Q227847>,"""Zuckerfabrik Stuttgart""@de"
<http://www.wikidata.org/entity/Q227845>,"""Zuckerfabrik Rositz""@de"
<http://www.wikidata.org/entity/Q32469524>,"""Zuckerfabrik Nauen""@de"
<http://www.wikidata.org/entity/Q32469524>,"""Zuckerfabrik Nauen""@de"
<http://www.wikidata.org/entity/Q227842>,"""Zuckerfabrik Jacob Hennige & Comp.""@de"
<http://www.wikidata.org/entity/Q227832>,"""Zuckerfabrik Heilbronn""@de"
<http://www.wikidata.org/entity/Q87409015>,"""Zuckerfabrik Goldbeck""@de"
<http://www.wikidata.org/entity/Q87409015>,"""Zuckerfabrik Goldbeck""@de"
<http://www.wikidata.org/entity/Q107167352>,"""Zuckerfabrik Glauzig""@de"
<http://www.wikidata.org/entity/Q227833>,"""Zuckerfabrik Anklam""@de"
<http://www.wikidata.org/entity/Q247910>,"""Züblin""@de"
