?prop,?propLabel,?oCount
<http://www.wikidata.org/entity/P186>,"""made from material""@en",798903
<http://www.wikidata.org/entity/P31>,"""instance of""@en",705721
<http://www.wikidata.org/entity/P195>,"""collection""@en",694397
<http://www.wikidata.org/entity/P276>,"""location""@en",612468
<http://www.wikidata.org/entity/P217>,"""inventory number""@en",611366
<http://www.wikidata.org/entity/P170>,"""creator""@en",585953
<http://www.wikidata.org/entity/P1476>,"""title""@en",501452
<http://www.wikidata.org/entity/P571>,"""inception""@en",478629
<http://www.wikidata.org/entity/P2048>,"""height""@en",435850
<http://www.wikidata.org/entity/P2049>,"""width""@en",433859
<http://www.wikidata.org/entity/P180>,"""depicts""@en",344017
<http://www.wikidata.org/entity/P973>,"""described at URL""@en",287513
<http://www.wikidata.org/entity/P18>,"""image""@en",267308
<http://www.wikidata.org/entity/P136>,"""genre""@en",251111
<http://www.wikidata.org/entity/P6216>,"""copyright status""@en",235043
<http://www.wikidata.org/entity/P1257>,"""depicts Iconclass notation""@en",198344
<http://www.wikidata.org/entity/P528>,"""catalog code""@en",78788
<http://www.wikidata.org/entity/P495>,"""country of origin""@en",76500
<http://www.wikidata.org/entity/P127>,"""owned by""@en",63115
<http://www.wikidata.org/entity/P921>,"""main subject""@en",62650
<http://www.wikidata.org/entity/P350>,"""RKDimages ID""@en",53431
<http://www.wikidata.org/entity/P17>,"""country""@en",41221
<http://www.wikidata.org/entity/P1071>,"""location of creation""@en",39272
<http://www.wikidata.org/entity/P1679>,"""Art UK artwork ID""@en",38918
<http://www.wikidata.org/entity/P6108>,"""IIIF manifest""@en",37823
<http://www.wikidata.org/entity/P140>,"""religion or worldview""@en",36106
<http://www.wikidata.org/entity/P5269>,"""Web umenia work ID""@en",24858
<http://www.wikidata.org/entity/P131>,"""located in the administrative territorial entity""@en",20810
<http://www.wikidata.org/entity/P1435>,"""heritage designation""@en",20213
<http://www.wikidata.org/entity/P4765>,"""Commons compatible image available at URL""@en",19802
<http://www.wikidata.org/entity/P481>,"""Palissy ID""@en",18876
<http://www.wikidata.org/entity/P8948>,"""Pinakothek artwork ID""@en",17988
<http://www.wikidata.org/entity/P4525>,"""MuIS object ID""@en",16959
<http://www.wikidata.org/entity/P2539>,"""Nationalmuseum Sweden artwork ID""@en",16830
<http://www.wikidata.org/entity/P608>,"""exhibition history""@en",16392
<http://www.wikidata.org/entity/P373>,"""Commons category""@en",15593
